ticker,forecast_time,news_time,news_text,price_5d_return,volume_change,label,evidence_text,sentiment,expected_direction,pro_evidence,counter_evidence
AAPL,2025-03-12 09:00:00,2025-03-11 08:00:00,Apple reports weak iPhone sales in China,-4.2,18.5,DOWN,weak,negative,DOWN,weak,
AAPL,2025-03-12 09:00:00,2025-03-11 10:30:00,Apple launches new AI-powered Siri features,3.8,15.2,UP,,neutral,HOLD,,
AAPL,2025-03-12 09:00:00,2025-03-10 15:00:00,Apple maintains stable MacBook sales,0.3,1.8,HOLD,,neutral,HOLD,,
MSFT,2025-04-05 09:00:00,2025-04-04 13:00:00,Microsoft beats earnings and announces a strategic partnership and share buyback,4.6,17.3,UP,"beat, strategic partnership, share buyback",positive,UP,"beat, strategic partnership, share buyback",
MSFT,2025-04-05 09:00:00,2025-04-03 16:00:00,Microsoft faces an antitrust investigation despite record revenue,-3.9,20.1,DOWN,"record revenue, face, investigation",negative,DOWN,"face, investigation",record revenue
MSFT,2025-04-05 09:00:00,2025-04-02 09:15:00,Microsoft stock remains stable after investor meeting,0.1,0.9,HOLD,,neutral,HOLD,,
GOOGL,2025-05-08 09:00:00,2025-05-07 10:20:00,Google posts record revenue and wins a new contract but faces a fine,4.3,19.5,UP,"record revenue, win, new contract, face, fine",positive,UP,"record revenue, win, new contract","face, fine"
GOOGL,2025-05-08 09:00:00,2025-05-06 14:10:00,Google hit with an SEC investigation and antitrust lawsuit after a downgrade,-3.6,21.2,DOWN,"sec investigation, lawsuit, downgrade",negative,DOWN,"sec investigation, lawsuit, downgrade",
GOOGL,2025-05-08 09:00:00,2025-05-05 11:30:00,Google search market share remains unchanged,0.0,1.2,HOLD,,neutral,HOLD,,
AMZN,2025-06-10 09:00:00,2025-06-09 09:30:00,Amazon beats earnings on strong sales with raised guidance and a buyback,4.5,20.3,UP,"beat, strong, raised guidance, buyback",positive,UP,"beat, strong, raised guidance, buyback",
AMZN,2025-06-10 09:00:00,2025-06-08 14:20:00,Amazon faces a production delay amid a strike despite profit,-4.1,22.8,DOWN,"profit, face, production delay, strike",negative,DOWN,"face, production delay, strike",profit
AMZN,2025-06-10 09:00:00,2025-06-07 15:10:00,Amazon logistics operations remain stable,0.2,2.0,HOLD,,neutral,HOLD,,
TSLA,2025-07-15 09:00:00,2025-07-14 09:40:00,Tesla deliveries exceed targets with record revenue despite a recall,6.8,28.4,UP,"exceed, record revenue, recall",positive,UP,"exceed, record revenue",recall
TSLA,2025-07-15 09:00:00,2025-07-13 10:15:00,Tesla recalls vehicles amid a lawsuit and SEC investigation,-6.3,30.1,DOWN,"recall, lawsuit, sec investigation",negative,DOWN,"recall, lawsuit, sec investigation",
TSLA,2025-07-15 09:00:00,2025-07-12 16:30:00,Tesla production remains unchanged,0.1,1.6,HOLD,,neutral,HOLD,,
NVDA,2025-08-20 09:00:00,2025-08-19 13:10:00,NVIDIA beats earnings as demand surges and it wins a new contract,7.1,31.5,UP,"beat, surge, win, new contract",positive,UP,"beat, surge, win, new contract",
NVDA,2025-08-20 09:00:00,2025-08-18 15:30:00,NVIDIA faces supply disruptions and a production delay despite strong demand,-5.6,27.8,DOWN,"strong, face, disrupt, production delay",negative,DOWN,"face, disrupt, production delay",strong
NVDA,2025-08-20 09:00:00,2025-08-17 08:45:00,NVIDIA stock trades sideways,0.0,1.1,HOLD,,neutral,HOLD,,
META,2025-09-18 09:00:00,2025-09-17 10:00:00,Meta beats earnings raised guidance and expands its buyback,4.7,18.9,UP,"beat, raised guidance, expand, buyback",positive,UP,"beat, raised guidance, expand, buyback",
META,2025-09-18 09:00:00,2025-09-16 13:20:00,Meta faces a privacy lawsuit and SEC investigation despite profit,-4.2,23.4,DOWN,"profit, face, lawsuit, sec investigation",negative,DOWN,"face, lawsuit, sec investigation",profit
META,2025-09-18 09:00:00,2025-09-15 09:40:00,Meta user growth remains stable,0.2,1.5,HOLD,growth,positive,UP,growth,
NFLX,2025-10-22 09:00:00,2025-10-21 10:30:00,Netflix subscriber growth beats forecasts and raised guidance despite a strike,5.3,19.8,UP,"growth, beat, raised guidance, strike",positive,UP,"growth, beat, raised guidance",strike
NFLX,2025-10-22 09:00:00,2025-10-20 15:40:00,Netflix faces an earnings miss downgrade and rising layoffs,-3.7,17.6,DOWN,"face, earnings miss, downgrade, layoffs",negative,DOWN,"face, earnings miss, downgrade, layoffs",
NFLX,2025-10-22 09:00:00,2025-10-19 11:50:00,Netflix subscriber numbers remain steady,0.1,1.3,HOLD,,neutral,HOLD,,
INTC,2025-11-25 09:00:00,2025-11-24 14:00:00,Intel wins a new contract and announces expansion with a dividend increase,4.4,17.4,UP,"win, new contract, expansion, dividend increase",positive,UP,"win, new contract, expansion, dividend increase",
INTC,2025-11-25 09:00:00,2025-11-23 10:45:00,Intel reports a guidance cut and production delay amid layoffs despite profit,-4.5,20.5,DOWN,"profit, guidance cut, production delay, layoffs",negative,DOWN,"guidance cut, production delay, layoffs",profit
INTC,2025-11-25 09:00:00,2025-11-22 09:10:00,Intel quarterly guidance remains unchanged,0.0,1.0,HOLD,,neutral,HOLD,,
AAPL,2025-03-12 09:00:00,2025-03-11 08:00:00,Apple reports profit growth but weak iPhone sales in China,0.2,14.8,HOLD,"profit, growth, weak",positive,UP,"profit, growth",weak
MSFT,2025-04-05 09:00:00,2025-04-04 13:00:00,Microsoft Azure revenue grows significantly despite lawsuit,0.1,15.9,HOLD,"grow, lawsuit",neutral,HOLD,,"grow, lawsuit"
GOOGL,2025-05-15 09:00:00,2025-05-14 10:00:00,Google Cloud reports strong growth but faces decline in ad revenue,-0.1,16.2,HOLD,"strong, growth, face, decline",neutral,HOLD,,"strong, growth, face, decline"
AMZN,2025-06-20 09:00:00,2025-06-19 14:00:00,Amazon Prime Day sales increase but warehouse workers begin strike,0.0,18.4,HOLD,"increase, strike",neutral,HOLD,,"increase, strike"
NVDA,2025-08-20 09:00:00,2025-08-19 13:00:00,NVIDIA demand for AI chips surge despite supply chain weak points,0.3,19.6,HOLD,"surge, weak",neutral,HOLD,,"surge, weak"
AAPL,2026-01-15 09:00:00,2026-01-14 10:00:00,"Apple beats earnings, raised guidance and record revenue despite a lawsuit and layoffs",2.1,13.5,UP,"beat, raised guidance, record revenue, lawsuit, layoffs",positive,UP,"beat, raised guidance, record revenue","lawsuit, layoffs"
TSLA,2026-02-10 09:00:00,2026-02-09 10:00:00,Tesla recalls vehicles and faces a lawsuit despite beating earnings and a share buyback,-2.3,15.0,DOWN,"beat, share buyback, recall, face, lawsuit",negative,DOWN,"recall, face, lawsuit","beat, share buyback"
NVDA,2026-03-05 09:00:00,2026-03-04 11:00:00,NVIDIA wins a new contract and posts record revenue but faces an antitrust investigation,1.8,12.8,UP,"win, new contract, record revenue, face, investigation",positive,UP,"win, new contract, record revenue","face, investigation"
AAPL,2026-04-20 09:00:00,2026-04-19 09:00:00,Apple beats earnings and record revenue,3.5,16.0,UP,"beat, record revenue",positive,UP,"beat, record revenue",
AAPL,2026-04-20 09:00:00,2026-04-19 11:00:00,Apple raised guidance and announces a buyback,3.2,15.5,UP,"raised guidance, buyback",positive,UP,"raised guidance, buyback",
AAPL,2026-04-20 09:00:00,2026-04-18 14:00:00,Apple faces a lawsuit and an SEC investigation,-3.0,17.0,DOWN,"face, lawsuit, sec investigation",negative,DOWN,"face, lawsuit, sec investigation",
TSLA,2026-05-18 09:00:00,2026-05-17 09:00:00,Tesla recalls vehicles and faces a lawsuit,-3.6,18.0,DOWN,"recall, face, lawsuit",negative,DOWN,"recall, face, lawsuit",
TSLA,2026-05-18 09:00:00,2026-05-17 11:00:00,Tesla faces a production delay and downgrade,-3.3,17.5,DOWN,"face, production delay, downgrade",negative,DOWN,"face, production delay, downgrade",
TSLA,2026-05-18 09:00:00,2026-05-16 14:00:00,Tesla beats earnings and posts record revenue,3.4,16.5,UP,"beat, record revenue",positive,UP,"beat, record revenue",
