ticker,forecast_time,news_time,news_text,price_5d_return,volume_change,label,evidence_text,sentiment,expected_direction,pro_evidence,counter_evidence,positive_count,negative_count,score,confidence,prediction,has_counter
AAPL,2025-03-12 09:00:00,2025-03-11 08:00:00,Apple reports weak iPhone sales in China,-4.2,18.5,DOWN,weak,negative,DOWN,weak,,0,1,-1,1.0,DOWN,False
AAPL,2025-03-12 09:00:00,2025-03-11 10:30:00,Apple launches new AI-powered Siri features,3.8,15.2,UP,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
AAPL,2025-03-12 09:00:00,2025-03-10 15:00:00,Apple maintains stable MacBook sales,0.3,1.8,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
MSFT,2025-04-05 09:00:00,2025-04-04 13:00:00,Microsoft beats earnings and announces a strategic partnership and share buyback,4.6,17.3,UP,"beat, strategic partnership, share buyback",positive,UP,"beat, strategic partnership, share buyback",,3,0,3,1.0,UP,False
MSFT,2025-04-05 09:00:00,2025-04-03 16:00:00,Microsoft faces an antitrust investigation despite record revenue,-3.9,20.1,DOWN,"record revenue, face, investigation",negative,DOWN,"face, investigation",record revenue,1,2,-1,0.33,DOWN,True
MSFT,2025-04-05 09:00:00,2025-04-02 09:15:00,Microsoft stock remains stable after investor meeting,0.1,0.9,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
GOOGL,2025-05-08 09:00:00,2025-05-07 10:20:00,Google posts record revenue and wins a new contract but faces a fine,4.3,19.5,UP,"record revenue, win, new contract, face, fine",positive,UP,"record revenue, win, new contract","face, fine",3,2,1,0.2,UP,True
GOOGL,2025-05-08 09:00:00,2025-05-06 14:10:00,Google hit with an SEC investigation and antitrust lawsuit after a downgrade,-3.6,21.2,DOWN,"sec investigation, lawsuit, downgrade",negative,DOWN,"sec investigation, lawsuit, downgrade",,0,3,-3,1.0,DOWN,False
GOOGL,2025-05-08 09:00:00,2025-05-05 11:30:00,Google search market share remains unchanged,0.0,1.2,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
AMZN,2025-06-10 09:00:00,2025-06-09 09:30:00,Amazon beats earnings on strong sales with raised guidance and a buyback,4.5,20.3,UP,"beat, strong, raised guidance, buyback",positive,UP,"beat, strong, raised guidance, buyback",,4,0,4,1.0,UP,False
AMZN,2025-06-10 09:00:00,2025-06-08 14:20:00,Amazon faces a production delay amid a strike despite profit,-4.1,22.8,DOWN,"profit, face, production delay, strike",negative,DOWN,"face, production delay, strike",profit,1,3,-2,0.5,DOWN,True
AMZN,2025-06-10 09:00:00,2025-06-07 15:10:00,Amazon logistics operations remain stable,0.2,2.0,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
TSLA,2025-07-15 09:00:00,2025-07-14 09:40:00,Tesla deliveries exceed targets with record revenue despite a recall,6.8,28.4,UP,"exceed, record revenue, recall",positive,UP,"exceed, record revenue",recall,2,1,1,0.33,UP,True
TSLA,2025-07-15 09:00:00,2025-07-13 10:15:00,Tesla recalls vehicles amid a lawsuit and SEC investigation,-6.3,30.1,DOWN,"recall, lawsuit, sec investigation",negative,DOWN,"recall, lawsuit, sec investigation",,0,3,-3,1.0,DOWN,False
TSLA,2025-07-15 09:00:00,2025-07-12 16:30:00,Tesla production remains unchanged,0.1,1.6,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
NVDA,2025-08-20 09:00:00,2025-08-19 13:10:00,NVIDIA beats earnings as demand surges and it wins a new contract,7.1,31.5,UP,"beat, surge, win, new contract",positive,UP,"beat, surge, win, new contract",,4,0,4,1.0,UP,False
NVDA,2025-08-20 09:00:00,2025-08-18 15:30:00,NVIDIA faces supply disruptions and a production delay despite strong demand,-5.6,27.8,DOWN,"strong, face, disrupt, production delay",negative,DOWN,"face, disrupt, production delay",strong,1,3,-2,0.5,DOWN,True
NVDA,2025-08-20 09:00:00,2025-08-17 08:45:00,NVIDIA stock trades sideways,0.0,1.1,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
META,2025-09-18 09:00:00,2025-09-17 10:00:00,Meta beats earnings raised guidance and expands its buyback,4.7,18.9,UP,"beat, raised guidance, expand, buyback",positive,UP,"beat, raised guidance, expand, buyback",,4,0,4,1.0,UP,False
META,2025-09-18 09:00:00,2025-09-16 13:20:00,Meta faces a privacy lawsuit and SEC investigation despite profit,-4.2,23.4,DOWN,"profit, face, lawsuit, sec investigation",negative,DOWN,"face, lawsuit, sec investigation",profit,1,3,-2,0.5,DOWN,True
META,2025-09-18 09:00:00,2025-09-15 09:40:00,Meta user growth remains stable,0.2,1.5,HOLD,growth,positive,UP,growth,,1,0,1,1.0,UP,False
NFLX,2025-10-22 09:00:00,2025-10-21 10:30:00,Netflix subscriber growth beats forecasts and raised guidance despite a strike,5.3,19.8,UP,"growth, beat, raised guidance, strike",positive,UP,"growth, beat, raised guidance",strike,3,1,2,0.5,UP,True
NFLX,2025-10-22 09:00:00,2025-10-20 15:40:00,Netflix faces an earnings miss downgrade and rising layoffs,-3.7,17.6,DOWN,"face, earnings miss, downgrade, layoffs",negative,DOWN,"face, earnings miss, downgrade, layoffs",,0,4,-4,1.0,DOWN,False
NFLX,2025-10-22 09:00:00,2025-10-19 11:50:00,Netflix subscriber numbers remain steady,0.1,1.3,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
INTC,2025-11-25 09:00:00,2025-11-24 14:00:00,Intel wins a new contract and announces expansion with a dividend increase,4.4,17.4,UP,"win, new contract, expansion, dividend increase",positive,UP,"win, new contract, expansion, dividend increase",,4,0,4,1.0,UP,False
INTC,2025-11-25 09:00:00,2025-11-23 10:45:00,Intel reports a guidance cut and production delay amid layoffs despite profit,-4.5,20.5,DOWN,"profit, guidance cut, production delay, layoffs",negative,DOWN,"guidance cut, production delay, layoffs",profit,1,3,-2,0.5,DOWN,True
INTC,2025-11-25 09:00:00,2025-11-22 09:10:00,Intel quarterly guidance remains unchanged,0.0,1.0,HOLD,,neutral,HOLD,,,0,0,0,0.0,HOLD,False
